997.12   5.85  279.24   3.91  87.30   9.26   8.08   1.18   5.06   8.11  1241.17   3.33   6.13  258.50 
997.45   6.05  279.41   3.94  86.30   9.39   8.10   1.29   5.07   8.12  1240.67   3.05   6.29  266.00 
998.57   5.38  278.66   3.93  90.30   8.97   8.10   0.87   5.06   8.11  1245.04   2.38   5.81  265.50 
999.37   4.54  277.75   2.40  85.90   8.45   7.26   1.19   4.53   7.27  1250.21   1.91   3.76  278.40 
1000.05   4.43  277.59   1.57  81.60   8.39   6.84   1.54   4.27   6.84  1251.76   1.85   3.68  282.80 
1000.50   3.63  276.75   0.24  78.40   7.93   6.22   1.71   3.87   6.21  1256.23   2.47   5.67  272.90 
1001.26   3.19  276.25  -0.26  78.00   7.68   5.99   1.69   3.73   5.99  1259.30   2.56   4.57  257.00 
1001.93   2.67  275.68  -0.22  81.20   7.40   6.01   1.39   3.74   6.00  1262.53   2.43   3.82  252.20 
1002.95   2.85  275.77  -0.13  80.70   7.50   6.05   1.45   3.76   6.03  1262.98   3.76   6.37  259.20 
1003.85   3.81  276.67   0.20  77.20   8.03   6.20   1.83   3.85   6.18  1259.64   2.90   4.81  257.30 
1003.89   4.73  277.58   0.47  73.80   8.56   6.32   2.24   3.92   6.30  1255.49   2.49   5.05  259.50 
1003.96   5.27  278.12   0.30  70.20   8.90   6.24   2.65   3.88   6.22  1253.17   2.32   4.87  259.40 
1003.89   5.98  278.83   0.52  67.90   9.34   6.34   3.00   3.94   6.32  1249.84   3.01   6.41  274.90 
1004.19   5.98  278.81   0.62  68.40   9.34   6.39   2.95   3.97   6.37  1250.20   1.67   3.24  266.20 
1004.47   5.24  278.05   0.68  72.30   8.88   6.42   2.46   3.98   6.39  1253.84   1.68   2.80  235.70 
1004.35   5.45  278.26   1.11  73.50   9.00   6.62   2.39   4.11   6.59  1252.67   1.01   2.68  217.20 
1005.06   5.24  277.99   1.20  75.10   8.87   6.66   2.21   4.13   6.63  1254.50   0.89   1.80  255.30 
1005.33   5.04  277.77   1.17  76.00   8.75   6.65   2.10   4.13   6.62  1255.73   0.62   1.04  199.00 
1005.50   4.57  277.29   0.99  77.50   8.47   6.56   1.91   4.07   6.53  1258.11   1.66   2.14  229.80 
1005.45   4.46  277.19   0.90  77.60   8.40   6.52   1.88   4.04   6.49  1258.57   1.05   1.44  220.60 
1005.58   4.30  277.02   0.84  78.10   8.31   6.49   1.82   4.02   6.46  1259.45   0.86   1.38  211.30 
1005.42   4.17  276.90   0.86  79.00   8.23   6.50   1.73   4.03   6.47  1259.87   0.44   1.16  154.70 
1005.31   3.55  276.29   0.68  81.40   7.88   6.42   1.47   3.98   6.38  1262.58   1.43   2.12  237.10 
1009.08  -7.56  264.91  -10.23  81.00   3.45   2.80   0.66   1.73   2.77  1322.12   4.84   6.73  47.37 
1009.46  -7.98  264.47  -10.91  79.30   3.34   2.65   0.69   1.64   2.63  1324.79   4.71   6.13  37.62 
1010.14  -9.00  263.40  -12.49  75.60   3.09   2.33   0.75   1.44   2.31  1330.96   3.86   6.89  78.40 
1010.25  -9.61  262.78  -13.78  71.40   2.94   2.10   0.84   1.29   2.08  1334.30   2.31   4.41  58.12 
1010.41  -9.67  262.71  -13.24  75.00   2.93   2.19   0.73   1.35   2.17  1334.77   2.81   5.25  38.27 
1010.58  -10.03  262.34  -12.74  80.40   2.84   2.29   0.56   1.41   2.26  1336.77   2.91   4.85  59.48 
1010.89  -10.58  261.77  -13.09  81.60   2.72   2.22   0.50   1.37   2.20  1340.02   1.91   3.41  58.53 
1011.23  -11.15  261.17  -13.31  83.90   2.60   2.18   0.42   1.34   2.16  1343.41   3.40   4.57  41.73 
1011.64  -12.80  259.50  -14.40  87.70   2.27   2.00   0.28   1.23   1.97  1352.56   2.46   3.04  33.73 
1012.09  -13.48  258.79  -15.00  88.20   2.15   1.90   0.25   1.17   1.88  1356.76   2.74   3.28  39.41 
1012.46  -12.75  259.49  -15.03  82.90   2.28   1.89   0.39   1.16   1.87  1353.45   2.36   3.12  25.49 
1012.61  -12.34  259.89  -15.13  79.50   2.36   1.88   0.48   1.15   1.85  1351.53   3.31   4.69  41.18 
1012.74  -11.60  260.61  -14.88  76.40   2.51   1.92   0.59   1.18   1.89  1347.86   1.90   3.08  22.32 
1012.45  -11.03  261.20  -14.73  73.90   2.63   1.94   0.69   1.19   1.92  1344.53   3.48   5.17  38.82 
1011.98  -10.60  261.67  -14.56  72.40   2.72   1.97   0.75   1.21   1.94  1341.69   4.03   5.57  36.64 
1011.59  -10.30  262.00  -14.58  70.60   2.78   1.97   0.82   1.21   1.94  1339.65   3.52   4.97  26.88 
1011.32  -10.76  261.56  -14.80  71.90   2.68   1.93   0.75   1.19   1.91  1341.66   3.73   4.83  28.98 
1011.09  -11.66  260.68  -14.94  76.40   2.50   1.91   0.59   1.17   1.89  1345.98   3.84   5.13  37.60 
1011.02  -12.26  260.08  -15.16  78.80   2.38   1.87   0.50   1.15   1.85  1349.00   1.91   2.80  359.20 
1011.15  -12.77  259.57  -15.37  80.70   2.28   1.84   0.44   1.13   1.82  1351.83   1.19   1.60   2.15 
